выдержкой и,1
", концентрированное",4
балансом хорошим,6
с хорошим,6
в нейтральной,6
емкости нейтральной,6
", полусладкое",7
", винограда",7
непродолжительной с,8
- насыщенное,8
", сухое",10
- цветочно,14
винограда сортов,18
- среднетелое,18
", из",18
ароматических из,18
ароматических сортов,18
", яркое",24
и непродолжительной,26
", свежее",26
- свежее,26
и кислотностью,27
фруктовое яркое,29
- сладкое,32
выдержкой непродолжительной,34
. дубе,36
кислотностью хорошей,41
с хорошей,41
- розовое,45
- яркое,53
выдержкой частичной,53
с частичной,53
с яркой,58
кислотностью яркой,58
", кислотностью",59
- крепленое,64
", крепленое",64
", пряное",78
- округлое,79
", округлое",79
в выдержкой,88
", сладкое",150
", с",166
- легкое,197
- комплексное,206
", легкое",207
", маслянистое",210
- фруктовое,212
", освежающее",256
", среднетелое",260
- мощное,264
", минеральное",268
", мощное",302
", фруктовое",375
выдержанное не,382
", не",382
- элегантное,500
- белое,506
", элегантное",520
", комплексное",798
", насыщенное",1082
- красное,1108
", выдержанное",1152
в выдержанное,1534
в дубе,1616
